config_id,task,status,checkpoint,cache,predictions,samples,per_class,classes,mode,split_role,dataset_split
efficientnet_b0__e5_small_v2__baseline,cifar100_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/efficientnet_b0__e5_small_v2__baseline__cifar100_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__cifar100_zeroshot__development__full.jsonl,10000,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__cifar100_zeroshot__development__full__per_class.csv,100.0,full,development,cifar100_official_train_development
efficientnet_b0__e5_small_v2__baseline,pets_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/efficientnet_b0__e5_small_v2__baseline__pets_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__pets_zeroshot__development__full.jsonl,736,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__pets_zeroshot__development__full__per_class.csv,37.0,full,development,oxford_iiit_pet_trainval_development
efficientnet_b0__e5_small_v2__baseline,eurosat_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/efficientnet_b0__e5_small_v2__baseline__eurosat_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__eurosat_zeroshot__development__full.jsonl,4050,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/efficientnet_b0__e5_small_v2__baseline__eurosat_zeroshot__development__full__per_class.csv,10.0,full,development,eurosat_deterministic_stratified_development
swin_tiny__all_minilm_l6_v2__baseline,cifar100_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_all_minilm_l6_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__all_minilm_l6_v2__baseline__cifar100_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__cifar100_zeroshot__development__full.jsonl,10000,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__cifar100_zeroshot__development__full__per_class.csv,100.0,full,development,cifar100_official_train_development
swin_tiny__all_minilm_l6_v2__baseline,pets_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_all_minilm_l6_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__all_minilm_l6_v2__baseline__pets_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__pets_zeroshot__development__full.jsonl,736,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__pets_zeroshot__development__full__per_class.csv,37.0,full,development,oxford_iiit_pet_trainval_development
swin_tiny__all_minilm_l6_v2__baseline,eurosat_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_all_minilm_l6_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__all_minilm_l6_v2__baseline__eurosat_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__eurosat_zeroshot__development__full.jsonl,4050,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__all_minilm_l6_v2__baseline__eurosat_zeroshot__development__full__per_class.csv,10.0,full,development,eurosat_deterministic_stratified_development
swin_tiny__bge_small_en__baseline,cifar100_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__bge_small_en__baseline__cifar100_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__cifar100_zeroshot__development__full.jsonl,10000,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__cifar100_zeroshot__development__full__per_class.csv,100.0,full,development,cifar100_official_train_development
swin_tiny__bge_small_en__baseline,pets_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__bge_small_en__baseline__pets_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__pets_zeroshot__development__full.jsonl,736,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__pets_zeroshot__development__full__per_class.csv,37.0,full,development,oxford_iiit_pet_trainval_development
swin_tiny__bge_small_en__baseline,eurosat_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_bge_small_en_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__bge_small_en__baseline__eurosat_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__eurosat_zeroshot__development__full.jsonl,4050,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__bge_small_en__baseline__eurosat_zeroshot__development__full__per_class.csv,10.0,full,development,eurosat_deterministic_stratified_development
swin_tiny__distilbert__baseline,cifar100_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__distilbert__baseline__cifar100_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__cifar100_zeroshot__development__full.jsonl,10000,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__cifar100_zeroshot__development__full__per_class.csv,100.0,full,development,cifar100_official_train_development
swin_tiny__distilbert__baseline,pets_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__distilbert__baseline__pets_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__pets_zeroshot__development__full.jsonl,736,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__pets_zeroshot__development__full__per_class.csv,37.0,full,development,oxford_iiit_pet_trainval_development
swin_tiny__distilbert__baseline,eurosat_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_distilbert_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__distilbert__baseline__eurosat_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__eurosat_zeroshot__development__full.jsonl,4050,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__distilbert__baseline__eurosat_zeroshot__development__full__per_class.csv,10.0,full,development,eurosat_deterministic_stratified_development
swin_tiny__e5_small_v2__baseline,cifar100_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__e5_small_v2__baseline__cifar100_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__cifar100_zeroshot__development__full.jsonl,10000,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__cifar100_zeroshot__development__full__per_class.csv,100.0,full,development,cifar100_official_train_development
swin_tiny__e5_small_v2__baseline,pets_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__e5_small_v2__baseline__pets_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__pets_zeroshot__development__full.jsonl,736,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__pets_zeroshot__development__full__per_class.csv,37.0,full,development,oxford_iiit_pet_trainval_development
swin_tiny__e5_small_v2__baseline,eurosat_zeroshot,complete,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_e5_small_v2_baseline/best.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/cache/swin_tiny__e5_small_v2__baseline__eurosat_zeroshot__development__full.pt,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__eurosat_zeroshot__development__full.jsonl,4050,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/results/phase1_multitask_development/predictions/swin_tiny__e5_small_v2__baseline__eurosat_zeroshot__development__full__per_class.csv,10.0,full,development,eurosat_deterministic_stratified_development
